graph,original_order,original_size,original_time,original_iterations,original_error,original_technique,batch_size,order,size,time,iterations,error,technique
"min-NvgraphEx","6","10","0","17","0","pagerankMonolithic","5","7","14","0.001","44","1.9372e-7","pagerankDynamic"
"min-NvgraphEx","6","10","0","17","0","pagerankMonolithic","5","7","14","0.001","44","1.9372e-7","pagerankDynamic [skip-comp]"
"min-NvgraphEx","6","10","0","17","0","pagerankMonolithic","5","7","16","0","19","0","pagerankStatic"
"min-NvgraphEx","6","10","0","17","0","pagerankMonolithic","5","7","16","0","18","5.5134e-7","pagerankDynamic"
"min-NvgraphEx","6","10","0","17","0","pagerankMonolithic","5","7","16","0","18","5.5134e-7","pagerankDynamic [skip-comp]"
"min-NvgraphEx","6","10","0","17","0","pagerankMonolithic","10","7","18","0","21","0","pagerankStatic"
"min-NvgraphEx","6","10","0","17","0","pagerankMonolithic","10","7","18","0","22","2.9802e-7","pagerankDynamic"
"min-NvgraphEx","6","10","0","17","0","pagerankMonolithic","10","7","18","0","22","2.9802e-7","pagerankDynamic [skip-comp]"
"min-NvgraphEx","6","10","0","17","0","pagerankMonolithic","10","7","19","0.002","55","0","pagerankStatic"
"min-NvgraphEx","6","10","0","17","0","pagerankMonolithic","10","7","19","0.002","56","1.8626e-7","pagerankDynamic"
"min-NvgraphEx","6","10","0","17","0","pagerankMonolithic","10","7","19","0.002","56","1.8626e-7","pagerankDynamic [skip-comp]"
"min-NvgraphEx","6","10","0","17","0","pagerankMonolithic","10","7","17","0.002","48","0","pagerankStatic"
"min-NvgraphEx","6","10","0","17","0","pagerankMonolithic","10","7","17","0.002","48","4.6566e-7","pagerankDynamic"
"min-NvgraphEx","6","10","0","17","0","pagerankMonolithic","10","7","17","0.002","48","4.6566e-7","pagerankDynamic [skip-comp]"
"min-NvgraphEx","6","10","0","17","0","pagerankMonolithic","10","7","19","0","19","0","pagerankStatic"
"min-NvgraphEx","6","10","0","17","0","pagerankMonolithic","10","7","19","0","18","2.2352e-8","pagerankDynamic"
"min-NvgraphEx","6","10","0","17","0","pagerankMonolithic","10","7","19","0","18","2.2352e-8","pagerankDynamic [skip-comp]"
"min-NvgraphEx","6","10","0","17","0","pagerankMonolithic","10","7","16","0","15","0","pagerankStatic"
"min-NvgraphEx","6","10","0","17","0","pagerankMonolithic","10","7","16","0","16","2.9802e-7","pagerankDynamic"
"min-NvgraphEx","6","10","0","17","0","pagerankMonolithic","10","7","16","0","16","2.9802e-7","pagerankDynamic [skip-comp]"
"web-Stanford","281903","2312497","473.101","63","0","pagerankMonolithic","1","281903","2312670","289.478","55","0","pagerankStatic"
"web-Stanford","281903","2312497","473.101","63","0","pagerankMonolithic","1","281903","2312670","13.687","3","0.0000061481","pagerankDynamic"
"web-Stanford","281903","2312497","473.101","63","0","pagerankMonolithic","1","281903","2312670","12.512","3","0.0000062281","pagerankDynamic [skip-comp]"
"web-Stanford","281903","2312497","473.101","63","0","pagerankMonolithic","1","281903","2312670","288.809","55","0","pagerankStatic"
"web-Stanford","281903","2312497","473.101","63","0","pagerankMonolithic","1","281903","2312670","9.717","3","0.0000049813","pagerankDynamic"
"web-Stanford","281903","2312497","473.101","63","0","pagerankMonolithic","1","281903","2312670","8.562","2","0.0000050576","pagerankDynamic [skip-comp]"
"web-Stanford","281903","2312497","473.101","63","0","pagerankMonolithic","1","281904","2312670","288.406","55","0","pagerankStatic"
"web-Stanford","281903","2312497","473.101","63","0","pagerankMonolithic","1","281904","2312670","9.646","2","0.000003619","pagerankDynamic"
"web-Stanford","281903","2312497","473.101","63","0","pagerankMonolithic","1","281904","2312670","9.187","2","0.0000036926","pagerankDynamic [skip-comp]"
"web-Stanford","281903","2312497","473.101","63","0","pagerankMonolithic","1","281904","2312670","289.089","55","0","pagerankStatic"
"web-Stanford","281903","2312497","473.101","63","0","pagerankMonolithic","1","281904","2312670","9.638","2","0.0000036833","pagerankDynamic"
"web-Stanford","281903","2312497","473.101","63","0","pagerankMonolithic","1","281904","2312670","9.202","2","0.0000037482","pagerankDynamic [skip-comp]"
"web-Stanford","281903","2312497","473.101","63","0","pagerankMonolithic","1","281904","2312670","288.137","55","0","pagerankStatic"
"web-Stanford","281903","2312497","473.101","63","0","pagerankMonolithic","1","281904","2312670","17.028","3","0.000005275","pagerankDynamic"
"web-Stanford","281903","2312497","473.101","63","0","pagerankMonolithic","1","281904","2312670","16.57","3","0.0000053343","pagerankDynamic [skip-comp]"
"web-Stanford","281903","2312497","473.101","63","0","pagerankMonolithic","5","281903","2312674","284.55","55","0","pagerankStatic"
"web-Stanford","281903","2312497","473.101","63","0","pagerankMonolithic","5","281903","2312674","35.305","6","0.0000056207","pagerankDynamic"
"web-Stanford","281903","2312497","473.101","63","0","pagerankMonolithic","5","281903","2312674","34.774","6","0.0000056903","pagerankDynamic [skip-comp]"
"web-Stanford","281903","2312497","473.101","63","0","pagerankMonolithic","5","281903","2312674","286.08","56","0","pagerankStatic"
"web-Stanford","281903","2312497","473.101","63","0","pagerankMonolithic","5","281903","2312674","58.097","10","0.0000060529","pagerankDynamic"
"web-Stanford","281903","2312497","473.101","63","0","pagerankMonolithic","5","281903","2312674","56.769","9","0.0000065355","pagerankDynamic [skip-comp]"
"web-Stanford","281903","2312497","473.101","63","0","pagerankMonolithic","5","281904","2312675","282.288","55","0","pagerankStatic"
"web-Stanford","281903","2312497","473.101","63","0","pagerankMonolithic","5","281904","2312675","31.284","6","0.0000049564","pagerankDynamic"
"web-Stanford","281903","2312497","473.101","63","0","pagerankMonolithic","5","281904","2312675","30.805","5","0.0000050163","pagerankDynamic [skip-comp]"
